疾病名称,诊断
肥胖症,"肥胖症的诊断需要做哪些检查？
常用的如体质指数（BMI）、腰围、皮下脂肪堆积厚度、内脏脂肪面积测量等。这些是间接体脂测定的方法和指标，也是临床常用的。
其中内脏脂肪面积测量是腹型肥胖诊断的金标准，可以准确直观地反映内脏脂肪聚集分布在腹部的情况。但若采用直接测量内脏脂肪面积的方法来诊断肥胖症，则需要特殊的设备，且费用昂贵，难以在临床上应用开展
[4]
。
如何准确测定体重？
体重是衡量一个人是否肥胖的重要指标之一，因此为了较准确地判断一个人的肥胖程度，准确地称量体重显得十分重要。
一般要尽量做到以下几点以保证测量得到的体重相对标准化：
尽量使用同一体重计测量，并且在测量前对体重计进行校准；
测量体重的时间应该固定，比如排便时间固定的人，可以在每天排便之后，空腹称体重；
测量体重时的衣着应该固定；
测量时的姿势应该正确，一般应稳立于体重计中央，待体重计指针停止摆动后读数。
什么是 BMI（体质指数或体重指数）?
BMI 英文全称为 Body Mass Index，又译为体质指数（也常被叫做体重指数），具体算法是以体重除以身高的平方（kg/m
2
）。
BMI 是与体内脂肪总量密切相关的指标，该指标同时考虑了体重和身高两个因素，因其简单、实用，因此是目前国际上常用的超重和肥胖的衡量标准。但此指标仍较为粗略，对于肌肉发达的运动员、水肿的病人、孕妇等不适用
[1]
。
衡量成人肥胖的标准是什么？
世界卫生组织（WHO）将 BMI介于 25～29.9 kg/m
2
定义为超重，而 BMI ≥ 30 kg/m
2
定义为肥胖，但此 BMI 的临界值是根据所测的指标与健康危险的相关程度以及由参照人群得到的统计数据所规定的，因此针对不同种族的参照人群有不同的标准。
在我国，BMI ＜ 18.5 kg/m
2
定义为体重过低，BMI 界于 18.5～23.9 kg/m
2
定义为体重正常，BMI 界于 24.0～27.9 kg/m
2
定义为超重，BMI ≥ 28 kg/m
2
定义为肥胖
[4]
。
腹型肥胖的衡量标准是什么？
目前，WHO 建议亚太地区人群腰围的适宜标准为：
男性不超过 90 cm；
女性不超过 85 cm；
女性腰臀比（腰围跟臀围二者的比值）大于1.0。
符合以上任一标准者，即可诊断为腹型肥胖。测定腰围和腰臀比，是评估肥胖类型简单易行的方法。一般认为，腰围和腹部内脏脂肪堆积的相关性，优于腰臀比值
[4]
。
什么是静息代谢率？
静息代谢率，即基础代谢率，是指维持人体在安静休息状态下心跳、呼吸等基本生理功能所需要消耗的最低能量。有研究显示，肥胖症患者比正常体重者静息代谢率低。静息代谢越低，患者减重越少，体重控制效果越差，这是一个恶性循环。
对于肥胖症患者而言，节食减重虽然能有效减少脂肪含量，但也会使机体肌肉量减少，因此应根据自身基础代谢情况，采用有氧（如跑步、散步）和无氧运动（如哑铃、间歇运动）与饮食结合的方式来控制体质量
[8]
。"
甲状腺功能亢进症,"医生怎么诊断甲状腺功能亢进？
一般情况下，医生根据患者的既往史（既往有无甲状腺疾病、自身免疫性疾病）、药物应用史（是否使用胺碘酮、甲状腺激素等）、个人史（是否高碘饮食、是否怀孕）、家族史（亲属是否有自身免疫甲状腺疾病）以及临床表现，再结合甲状腺功能检测基本上就可诊断本病
[3]
。
但有些患者的症状不典型，所以医生可能还会开具甲状腺超声、甲状腺核素显像、眼眶 CT 等检查。
诊断甲状腺功能亢进需要做哪些检查？
甲状腺功能测定
：常见指标有总三碘甲状腺原氨酸（ TT3）、游离三碘甲腺原氨酸（FT3）、总甲状腺素（TT4）、游离甲状腺素（FT4）、促甲状腺素（TSH）等。这些指标的变化可直接反应甲状腺功能状态
[3]
。
甲状腺自身抗体测定
：常见指标有促甲状腺素受体抗体（TRAb）、甲状腺过氧化物酶抗体（TPOAb）、甲状腺球蛋白抗体（TgAb）等。这些指标可判断甲亢的病因及病情活动
[3]
。
甲状腺超声
：可方便、快捷、无创地观察甲状腺形态、大小变化，为临床诊断及治疗提供参考。
甲状腺核素显像
：患者口服或注射一定量的显像剂，待甲状腺吸收后用仪器进行扫描，可清晰地显示甲状腺的位置、大小、形态及有无肿大或异位。
眼眶 CT 或 MRI
：突眼的患者可行眼眶 CT 或 MRI 评价眼球位置、眼外肌大小等
[3]
。
碘摄取率
：可用于鉴别甲亢的原因，不同原因导致的甲亢，摄碘率情况有很大区别
[3]
。
促甲状腺素低或者高，T
3
、T
4
正常，是甲亢吗？
不一定。
TSH 低，T
3
、T
4
正常，提示是「亚临床甲亢」；
TSH 高，T
3
、T
4
正常，提示是「亚临床甲减」。
亚临床甲亢及亚临床甲减随着时间的延长，可能会进展成为甲亢及甲减。
甲状腺功能亢进症检查时，摄碘率是什么检查？
摄碘率检查可用于鉴别甲亢的原因，不同原因导致的甲亢，摄碘率情况有很大区别。此外，摄碘率检查还用于选择放射性碘 131 治疗的甲亢患者，用来协助制定治疗方案。"
甲状腺功能减退症,"甲状腺功能减退症怎么诊断？
通过抽血检查甲状腺功能，即可确诊甲减。
甲状腺功能包括促甲状腺激素 TSH、甲状腺素 T4、三碘甲腺原氨酸 T3 等项目。
如果 TSH 升高，T4、T3 正常或降低，提示是原发性甲减；
如果 TSH 正常或降低，T4、T3 降低，提示是中枢性甲减；
如果有甲减的症状，但T4、T3 升高且 TSH增高，就要考虑甲状腺激素抵抗综合征。
甲状腺功能减退症确诊后还需要做哪些检查？
确诊甲减后，找到甲减的病因也非常重要，有助于制定接下来的治疗方案，还有助于评估患者未来的病情是否乐观、有没有痊愈的可能。
为了找到病因，首先医生会详细询问患者既往的个人经历、饮食情况、用药情况、手术史和家族病史等，并进行仔细的体格检查。
其次，医生还会建议患者做一些检查，包括：
甲状腺抗体：包括甲状腺过氧化物酶抗体 TPOAb、甲状腺球蛋白抗体 TgAb 等。如果抗体明显升高，提示甲减的病因很可能是自身免疫性甲状腺炎。
甲状腺 B 超：可方便、快捷、无创地观察甲状腺形态、大小变化，为临床诊断及治疗提供参考。
其他检查：包括尿碘、甲状腺摄碘率、甲状腺核素显像等，医生会根据患者的具体情况决定要不要做这些检查。"
甲状腺结节,"甲状腺结节最准确的筛查方法是什么？
彩超检查最准确。
大多数结节都可以被彩超发现，甲状腺手术术前还需要通过颈部 CT 判断周围器官情况。
甲状腺结节什么情况下需要细针穿刺（FNAB）？
甲状腺细针穿刺（FNAB）是鉴别结节良、恶性最可靠、最有价值的诊断方法
[11]
。一般来讲，凡直径 > 1 cm 的甲状腺结节，均可考虑 FNAB。
但在下述情况下，FNAB 不作为常规检查：
经甲状腺核素显像证实为「甲亢」表现的结节；
超声提示为纯囊性的结节；
根据超声影像已高度怀疑为恶性的结节，这种结节可以直接手术；
直径 < 1 cm 的甲状腺结节，不推荐常规行 FNAB。
有下述情况时，可考虑 FNAB：
男性，男性得甲状腺结节的概率虽然没有女性高，但是男性恶变的概率大于女性；
结节生长迅速；
伴持续性声音嘶哑、发音困难，并可排除声带病变（炎症、息肉等）；
伴吞咽困难或呼吸困难；
结节形状不规则、与周围组织粘连固定；
伴颈部淋巴结病理性肿大。
甲状腺结节和甲状腺炎是一种病吗？
不是。
部分甲状腺炎会导致甲状腺结节的产生，但甲状腺结节不一定会伴发甲状腺炎。"
糖尿病前期,"糖尿病前期怎样诊断？
糖尿病前期诊断主要参照世界卫生组织（WHO）1999 年制定的诊疗方案和 2003 年美国糖尿病协会（ADA）的指南建议
[4]
。
1999 年 WHO 对糖尿病前期的诊断包括空腹血糖受损（IFG）、糖耐量受损（IGT）及并存状态
[4]
。：
空腹血糖受损（IFG）：
6.1 mmol/L ≤ 空腹血糖 ＜ 7.0 mmol/L；
口服葡萄糖耐量试验（OGTT）两小时后血糖 ＜ 7.8 mmol/L。
糖耐量受损（IGT）：
空腹血糖 ＜ 6.1 mmol/L；
7.8 mmol/L ≤ 口服葡萄糖耐量试验（OGTT）两小时后血糖 ＜ 11.1 mmol/L。
两者并存状态：
6.1 mmol/L ≤ 空腹血糖 ＜ 7.0 mmol/L；
7.8 mmol/L ≤ 口服葡萄糖耐量试验（OGTT）两小时后血糖 ＜ 11.1 mmol/L。
2003 年的美国糖尿病协会（ADA）的诊断标准中将空腹血糖受损降低为 5.6 mmol/L，其余不变。近几年的 ADA 指南中又加入了糖化血红蛋白（HbA1c）为 5.7%～6.4% 作为诊断标准的一部分
[4]
。
目前我国对本病的诊断，依旧使用 WHO 标准
[4]
。
糖尿病前期应该多久进行一次检测？
健康成人 40 岁后应每年进行血糖的筛查，如口服葡萄糖耐量试验
[8]
、胰岛素释放水平、C 肽兴奋试验、糖化血红蛋白的水平等，以便及时发现糖尿病及糖尿病前期。
糖尿病前期需要做哪些检查来诊断？
静脉血糖测定和口服葡萄糖耐量试验（OGTT） 检查，OGTT 应在无摄入任何热量 8 小时后，清晨空腹进行，成人口服 75 g 无水葡萄糖，溶于 250～300 ml 水中，5～10 分钟内饮完，空腹及开始饮葡萄糖水后 2 小时测静脉血浆葡萄糖
[8]
。
试验过程中，患者需注意不喝茶、不喝咖啡、不吸烟、不做剧烈运动；试验前三天正常摄入碳水化合物；试验前 3～7 天停用糖皮质激素、噻嗪类利尿剂等可能影响结果的药物
[8]
。由于每个患者情况不同，具体情况还需要询问医生。
糖尿病前期容易和哪些情况混淆？
应激情况、应用药物（噻嗪类利尿剂、β 受体拮抗剂、糖皮质激素等）、吸烟等，都可能出现短暂的血糖波动。而这些可以通过病史或借助糖化血红蛋白来进行鉴别
[8]
。"
高尿酸血症,"高尿酸血症怎么诊断？
健康人随着饮食结构不当和生活习惯变差，血尿酸有上升倾向。摄入高嘌呤食物以及饮酒等可有血尿酸的一过性上升。
因此在正常嘌呤饮食状态下，非同日两次空腹抽血化验血尿酸水平，成年人无论是男性还是女性，血尿酸超过 420 μmol/L，就可以诊断高尿酸血症。
高尿酸血症发现后还要做其他检查吗？为什么？
除了进行血尿酸的测定，还要做其他一些辅助检查，用于进一步的确诊、病情的评估、为后续治疗方案的制定、治疗后效果的前后对比和评价。
血液化验：
血常规：痛风性关节炎急性发作期间可有白细胞增加，可协助诊断；部分因血液系统疾病，如慢性白血病、多发性骨髓瘤等引发的高尿酸血症，属于继发性高尿酸血症，血常规可提供相应线索。
血沉：痛风性关节炎发作期，血沉可明显加快。
肾功能：了解是否存在肾功能受损的情况，肾功能受损可能是引发高尿酸血症的原因——肾脏排出的尿酸减少，也可能是高尿酸血症导致的结果——尿酸高导致尿酸性肾病或尿酸在肾脏内形成痛风石，从而损害肾脏。
尿液化验：
24 小时尿尿酸的排泄：了解高尿酸血症的原因是否与尿酸排泄不良相关；在出现肾功能衰竭时，如果测定 24 小时尿尿酸排泄增多，可以有助于痛风性肾病的诊断，可与慢性肾小球肾炎所导致肾衰竭进行鉴别。
尿常规：有尿酸性结石形成时，尿中可出现红细胞和尿酸盐结晶；根据尿液酸碱度来决定是否有必要碱化尿液，以利于尿酸从尿液中的排出。
影像学检查： 如 X 线片、CT、核磁共振等，了解结石以及关节的情况。能谱 CT 相较于常规 CT 在痛风诊断中有较高的价值，不仅可以更好地检出痛风结石，还可以进行量化分析评估痛风病情的严重程度。高频超声（肌骨超声）可以帮助发现关节及周围组织尿酸盐晶体沉积甚至骨侵蚀状态。
高尿酸血症患者做尿酸检测有什么注意事项？
血尿酸的测定，需要重复测定。
健康人随着饮食结构和生活习惯的改变，血尿酸可有上升倾向。摄入高嘌呤食物以及饮酒等可使尿酸有一过性上升。因此如果一次血尿酸水平升高，并不能立即作出诊断，需在正常嘌呤饮食状态下，不同的两天里重复测定空腹血尿酸水平。
24 小时尿尿酸的测定： 急性发作期尿酸盐与炎症的利尿作用可使尿尿酸排泄增多，此时检查对诊断意义不大。建议急性期过后，经过正常嘌呤饮食五天后再进行检测。
有高尿酸血症、有关节痛，一定是痛风吗？
不一定。有高尿酸血症、有关节痛，需要排除其他关节病病变的可能。
类风湿性关节炎： 一般多发生于 30～50 女性
[8]
，好发于四肢的小关节及腕、膝、踝、骶髂和脊柱等关节，表现为游走性、对称性多关节炎，病变关节呈现梭型肿胀，常伴有晨起关节僵硬现象，血液化验类风湿因子阳性，X 线检查与痛风有不同。
化脓性关节炎： 关节滑囊液可培养出细菌。
创伤性关节炎： 有关节外伤史。"
低钾血症,"低钾血症如何诊断？
根据患者的典型临床表现，结合血钾浓度测定（血钾浓度低于 3.5 mmol/L），即可做出诊断。
心电图检查可作为辅助性诊断手段，当心电图上出现低钾血症的表现时，通过检查血钾浓度也可以确诊。
低钾血症的心电图特征是什么？
低钾血症患者典型心电图表现为：
T 波低平、倒置；
ST 段降低；
QT 间期延长，出现 U 波。
但并非每个病人都会有心电图的改变。
低钾血症患者需要做哪些检查？
24 小时尿钾：即留取 24 小时的尿液，测定尿中的钾离子浓度，可明确是否存在肾性失钾。
血气分析和尿 pH：可协助诊断有无肾小管性酸中毒。
甲状腺功能：明确有无甲亢。
血浆肾素、血管紧张素、醛固酮水平、24 小时尿醛固酮、肾上腺 CT 等：主要用于排查导致低钾的病因，如原发性醛固酮增多症等。"
电解质紊乱,"电解质紊乱怎么诊断？
抽血化验进行离子组合，有些医院称之为电解质化验，或者是进行动脉血气分析化验，就可以确定是否存在电解质紊乱了。
诊断了电解质紊乱常常还要进行病因的查找，有时需要留取 24 小时的尿液检查、进行一些内分泌激素的化验等。
进行血气分析的时候会有可以忍受的疼痛，很快就会完成，这一点不需要担心。
血气分析对于诊断电解质紊乱，特别是电解质紊乱伴有酸碱平衡紊乱、呼吸功能受到影响时很重要的一个检查项目，病人越处于放松状态，疼痛感越轻，在抽血过程中避免过度呼吸和屏气，以免影响血气分析的结果。
电解质紊乱做血气分析或抽血检查有什么注意事项？
做血气分析时，患者要注意自己的情绪状态，避免因紧张造成过度换气、屏气、呕吐或哭泣而影响血气指标出现偏差，在患者全身放松、保持舒适的姿势，平躺在床上或坐在舒适的椅子上 5 分钟以上或待呼吸平稳后再进行抽血。
不同温度下血气分析的结果会有不用，抽血前需测量患者体温，在化验单上注明患者的实际体温，以便实验室测定时用仪器温度校正，保证测定结果的准确性。患者接受鼻导管吸氧或呼吸机给氧状态下，要有足够的时间保证达到「稳定状态」后方可采血。
如果病情许可，最好停止吸氧 30 分钟后抽血，否则注明吸氧浓度，以便更好地分析结果。
有些药物可影响血气分析的结果，如脂肪乳，故应在输注脂肪乳剂类药物之前取血，或输完 12 小时后；碱性药物、大剂量青霉素钠盐、氨苄青霉素等药物经静脉进入人体后，会引起酸碱度的暂时变化，影响真实的结果，建议最好应在用药前 30 分钟进行采血。
电解质紊乱容易和哪些疾病混淆？怎么区分？
很多疾病都可以导致电解质紊乱，所以当出现了电解质紊乱，在病因的鉴别上，区分不同的病因是比较重要的。
以低钠血症为例，根据患者具体的情况，比如进一步进行尿渗透压和尿电解质的化验，以及相应的内分泌激素水平的化验，来做进一步的病因的区分和鉴别。
当尿渗透压明显降低，则考虑原发性烦渴、低渗性液体摄入过多，过多的喝入啤酒等等；
当尿渗透压明显增高，进一步查尿钠水平，如果尿钠水平明显减低，则考虑心脏衰竭，肝硬化，肾病综合征等等。
如果尿钠水平明显升高，如果存在有利尿剂的使用，则考虑利尿剂性肾病，如果没有则考虑抗利尿激素分泌不适当综合征，肾上腺皮质功能不全，甲状腺功能减低等等情况。"
高脂血症,"高血脂症应如何确诊？需要进行哪些检查？
高血脂症主要通过实验室抽血检查来确诊。检测血脂的项目较多，但最基本血脂检测项目为血清总胆固醇、甘油三酯、低密度脂蛋白胆固醇。
血清总胆固醇： ＜ 5.2 mmol/L 为合适水平，5.2～6.2 mmol/L 为边缘水平，＞ 6.2 mmol/L 为升高。
甘油三酯： 0.56～1.7 mmol/L 为合适水平，1.7～2.3 mmol/L 为边缘水平，若结果＞ 2.3 mmol/L 为升高。
低密度脂蛋白胆固醇：检测数值在 ≤ 3.4 mmol/L 为合适水平，3.4～4.1 mmol/L 为边缘水平，若结果＞ 4.1 mmol/L 为升高。
若上述检查指标中有一项或多项升高，即可诊断为高脂血症
[3]
。
血脂检查必须去医院吗？
血脂检查不像血压和血糖在家自己就可以检测，虽然目前也出现了快速的血脂检测设备，但还没有普及。检查血脂一般需要去医院进行抽血检查。
血脂检查需要注意什么？
抽血化验前至少两周保持平常的生活和饮食习惯（不要刻意多吃或少吃），这样才能反映出真实的血脂情况，进而才可以判断是否需要接受药物治疗，或是正在服用的药物是否合适等。
血脂，尤其是甘油三酯，容易受短期食物中脂肪含量和大量饮酒的影响而升高。在抽血前三天内应避免日常生活以外的高脂饮食，例如聚餐和大量饮酒等情况，以免造成血脂升高的假象。
在身体状态比较稳定的情况下进行化验，例如近期无急性疾病、外伤、手术等情况。这是因为急性感染期血脂会明显异常，会对正常的结果造成影响。
目前一般选择空腹检查血脂。在抽血前一天晚八点开始就不要吃东西，包括各种零食、水果、花生、瓜子等，可以少量饮水。第二天早上 8～10 点抽取静脉血即空腹 12～14 小时取血。如果没有条件至少需要保证空腹八小时抽血
[1]
。
哪些人应该检查血脂，没有不舒服也需要检查血脂吗？
一般检查建议
[2]
：
20 岁以上的成年人至少每 5 年检查一次血脂。
40 岁以上男性和绝经后女性应每年均进行血脂检查。
对于缺血性心脑血管疾病（心绞痛、心肌梗死、脑中风、短暂性脑缺血发作等）及其高危人群，则应每 3～6 个月测定一次。
血脂检查的重点对象
[2]
：
已有冠心病、脑血管病或周围动脉粥样硬化病者。
有高血压、糖尿病、肥胖、吸烟者。
有冠心病或血管硬化性疾病家族史者，尤其是直系亲属（包括父母、兄弟姐妹、子女、祖父母、外祖父母等）中有早发冠心病（男性 55 岁前，女性 65 岁前发病）或其他血管硬化性疾病者。
有皮肤黄色瘤者。
有家族性高脂血症者。
血脂异常有时候可以表现出一些无特异性的症状，比如头晕、头痛、手脚麻木等等，但更多的情况是因为体检或住院治疗其他疾病才偶然发现的。因此即使没有症状，符合上述情况的人群也应该检查一下血脂，以便及时发现血脂异常。
血脂化验单结果都在参考范围内，就是正常吗？
在医院的化验单上血脂化验栏目后都附有正常值，许多人拿自己的化验结果比对正常值，觉得不高就如释重负，觉得高血脂肯定与自己无关，事实上这并不正确。
化验单上所提供的所谓「正常值」（参考值范围）只适用于健康人群。对已患有冠心病、脑中风或糖尿病的患者是不适用的，他们的胆固醇水平应该控制得更低。
除了化验单上的参考值，还要结合实际的病情判断血脂情况，需要听从专业医生的建议。"
甲状腺癌,"甲状腺癌诊断需要做什么检查？
实验室检查：
常规检查：包括血常规和肝肾功能的检查，了解患者的一般情况，了解是否需要采取相应的措施。
甲状腺激素检查：通过检测患者血液中的甲状腺素 T4、三碘甲状腺原氨酸 T3、游离 T4 和游离 T3、促甲状腺激素TSH，来了解甲状腺功能是否正常。
甲状腺自身抗体检测：可以用来监测患者术后肿瘤是否复发或者转移。
影像学检查：
超声检查：可以很容易检出结节，并可查看到结节的数目以及结节和周围组织的关系，另外还可以看到结节的转移情况。
CT 扫描：对诊断的意义不大，但是可以用来评估生长迅速的甲状腺癌侵袭其他器官的情况。
甲状腺核素显像：一般是手术后进行放射性 131I 检查，用来明确残存甲状腺的大小和功能情况。
甲状腺癌和甲状腺结节是同一个疾病吗？
甲状腺结节是指甲状腺里面长了肿块，是甲状腺疾病的常见表现形式之一，并不是某一种特定的疾病。甲状腺结节有恶性和良性两类，在临床上只有约 5～15% 是恶性、为甲状腺癌
[1]
，排除了甲状腺癌的甲状腺结节都是良性的。
甲状腺癌如何筛查？
甲状腺的筛查主要依据既往病史、是否有甲状腺癌家族史、射线暴露史、甲状腺触诊、甲状腺功能检查结果等作为初步危险因素评估。对于高危患者进行颈部 B 超筛查。
甲状腺癌如何确诊？
甲状腺癌的确诊有赖于病理（特别是术后病理检验）证据，术前诊断主要依据超声引导下的细针穿刺或者是粗针穿刺。不过，甲状腺细针穿刺仍存在一定几率与术后病理不符，不是诊断的金标准。
甲状腺细针穿刺是什么？
甲状腺细针穿刺全称为甲状腺细针穿刺细胞学检查，是通过较细针头对甲状腺组织穿刺，吸取病灶部位部分细胞后进行病理检查的检查手法。通常进行细针穿刺需要在影像技术（如：超声等）引导下进行。
怎样简要了解甲状腺细针穿刺报告？
甲状腺细针穿刺细胞学报告一般分为两部分，一部分是对取出细胞进行形态的描述，另一部分进行恶性风险的评估。
恶性风险评估分为 5 级：
1 级为良性病变；
2 级为非典型病变或滤泡性病变；
3 级为滤泡性肿瘤或可疑滤泡性肿瘤；
4 级为可疑恶性肿瘤；
5 级为恶性肿瘤。
其中，1～3 级为良性倾向，4～5 级为恶性倾向。"
妊娠期糖尿病,"妊娠期糖尿病如何诊断？
在妊娠 24～28 周，孕妇需要进行口服葡萄糖耐量试验（OGTT）。
禁食 8 小时后抽血测空腹血糖，然后在 5 分钟内喝下含 75 克葡萄糖的液体 300 mL，抽取服糖后 1 小时、2 小时的静脉血检测血糖水平。
如果空腹血糖 ≥ 5.1 mmol/L，或服糖后 1 小时血糖 ≥ 10.0 mmol/L，或服糖后 2 小时血糖 ≥ 8.5 mmol/L，即可诊断为妊娠期糖尿病。
妊娠期糖尿病可以根据口服葡萄糖耐量试验（OGTT）检查结果排除吗？
如果孕妇具有肥胖、羊水过多等高危因素，即使首次 OGTT 正常也不能完全排除妊娠期糖尿病可能，需在妊娠晚期重复 OGTT，两次 OGTT 都正常才能排除妊娠期糖尿病。"
糖尿病肾病,"糖尿病患者有蛋白尿就一定是糖尿病肾病吗？
糖尿病患者有蛋白尿不一定就是糖尿病肾病。
尿白蛋白排泄受影响因素较多，需在 3～6 个月内复查，3 次结果中至少 2 次超过临界值，并且排除影响因素如 24 h 内剧烈运动、感染、发热、充血性心力衰竭、明显高血糖、怀孕、明显高血压、尿路感染、肾病综合征等，方可做出诊断。
糖尿病肾病如何能及时发现？
所有 2 型糖尿病患者应从确诊时和 1 型糖尿病患者病程超过 5 年时，每年检查 1 次以评估 UAE/AER（尿白蛋白排泄率）。
所有成人糖尿病患者，不管 UAE/AER 如何，每年应至少检查 1 次血清肌酐，并用血清肌酐估计 GFR（肾小球滤过率），以评估肾功能。
糖尿病肾病可疑时，除了做肾病相关的检查，为什么还要做眼底检查？
糖尿病肾病和糖尿病视网膜病变都是糖尿病的微小血管并发症。
糖尿病视网膜病变常早于糖尿病肾病发生，大部分糖尿病肾病患者患有糖尿病视网膜病变，但在透析的糖尿病肾病患者中，糖尿病视网膜病变的发病率反而减少。
糖尿病视网膜病变被美国肾脏病协会/肾脏病与透析病人生存质量指导指南作为 2 型糖尿病患者糖尿病肾病的诊断依据之一。
糖尿病肾病如何诊断？
符合以下任何一项可考虑为糖尿病肾病：
大量蛋白尿。
糖尿病视网膜病变伴微量蛋白尿。
在 10 年以上糖尿病病程的 1 型糖尿病中出现微量蛋白尿 。"
慢性胃炎,"慢性胃炎怎么诊断？
主要依靠辅助检查。
多数慢性胃炎患者无任何症状，即使有症状者也主要为消化不良，比如食欲减退、恶心、上腹部隐痛等，但缺乏特异性
[3]
；且有没有消化不良、消化不良严重不严重，与慢性胃炎的严重程度无明显相关性。
因此，根据临床表现，很难直接诊断出慢性胃炎。慢性胃炎的确诊主要依赖于胃镜检查（通过一根前段带有摄像头的「管子」进入胃中，可以直接观看到胃内情况）和胃黏膜活检（在胃镜检查时，使用活检钳取出一点胃黏膜组织，然后用来病理检测），尤其是后者，诊断价值更大。
慢性胃炎出现哪些症状需要做胃镜？
有以下症状者可能需要进行胃镜检查：
腹痛、腹胀、嗳气、反酸等消化不良症状持续存在或反复出现，经经验性抗酸治疗后无好转。
贫血，黑便，没有刻意节食但短期内体重明显下降等。
出现上述症状且年龄大于 40 岁或家族中有胃肠道肿瘤病史的人，要格外引起重视，及早进行胃镜检查。
胃镜报告单中的肠化生和上皮内瘤变是什么意思？
肠化生是指胃黏膜上皮转化为肠黏膜上皮。
上皮内瘤变是一种癌前病变（即有可能进展为癌），分为两级：低级别上皮内瘤变和高级别上皮内瘤变
[1]
。
低级别上皮内瘤变相当于轻 - 中度异型增生，该类患者需要定期进行胃镜随访。
高级别上皮内瘤变相当于重度异型增生和原胃癌，需立即行内镜下治疗或手术治疗
[3]
。
慢性胃炎做幽门螺杆菌检测有什么用？幽门螺杆菌检测方法有哪些？
幽门螺杆菌（Hp）感染是慢性胃炎的主要病因，80%～95% 的慢性活动性胃炎患者胃黏膜中有幽门螺杆菌感染，也就是说，100 个慢性活动性胃炎患者胃黏膜中有 80～95 个患者有幽门螺杆菌感染。目前的医疗指南建议，将幽门螺杆菌检测作为慢性胃炎病因诊断的常规检查。
幽门螺杆菌的检测方法主要包括侵入性和非侵入性两大类
[3]
。
侵入性方法依赖胃镜活组织检查，包括：快速尿素酶实验（RUT）、胃黏膜直接涂片染色镜检、胃黏膜组织切片染色镜检、细菌培养、基因方法检测。
非侵入性方法不依赖胃镜，包括：碳 13 和碳 14 尿素呼气实验（UBT）、粪便 Hp 抗原（HpSA）检测和血清 Hp 抗体检测等。
各种方法各有优缺点，需要在消化科医生的指导下选择适合自己的检查。"
幽门螺杆菌感染,"幽门螺杆菌感染可以通过哪些方法检查出来？哪种方法更好？
幽门螺杆菌感染的诊断方法分为侵入性和非侵入性两大类：
侵入性检查：在胃镜检查过程中，采取胃黏膜组织标本进行分析，常用的方法有活检尿素酶检测、组织学检测、细菌培养（较少采用）。
非侵入性检查：仅提供有无感染幽门螺杆菌的信息，包括碳 13 或 碳 14 尿素呼气试验、粪便幽门螺杆菌抗原试验、检测血中幽门螺旋杆菌免疫球蛋白 G 抗体
[1]
。
由于幽门螺杆菌在胃内呈灶状分布，导致胃镜取样存在一定误差。而做碳 13 或 碳 14 尿素呼气试验，可对胃内幽门螺杆菌感染密度做半定量评估，克服了胃镜取样可能存在的误差。
所以，如果没有上腹部疼痛，仅有消化不良症状的年轻患者，可以选择非侵入性检查。如果是老年患者，因为要确定是否有胃癌等恶性疾病，通常建议进行胃镜检查
[1]
。
幽门螺杆菌感染患者做碳 13 或 碳 14 尿素呼气试验，有什么区别？
碳 14 为放射性核素，试剂费用低、检测方便，为其优点，但由于有少部分放射性，不适用于小孩和孕妇。
碳 13 是稳定的放射性核素，可用于小孩和孕妇，但试剂盒检测费用高。
这两种试验方法检测幽门螺杆菌的敏感性和特异性均很高，目前国际上推荐呼气试验可以作为幽门螺杆菌检测的「金标准」。
具体选用哪种方法一看选择的医院能提供哪种检查方法，还一个是患者自己的选择。
幽门螺杆菌感染如何诊断？
符合下述三项之一者，可判断为目前正存在幽门螺杆菌感染。
胃黏膜组织活检尿素酶检测、组织切片染色或细菌培养三项中任一项阳性（+）；
呼气试验阳性（+）；
幽门螺杆菌抗体检测阳性（+）：血清幽门螺杆菌抗体检测阳性多提示曾经感染，对于从未治疗者可视为现症感染。
如何读懂体检报告中关于幽门螺杆菌的检查结果？
体检通常采用尿素呼气试验的方法检查人体幽门螺杆菌感染情况。
关于检查结果的数值是否超标，目前没有统一的标准，因为每个医院所使用的设备不同，标准值也都不同，且报告单上的数值与病情严重程度并不成正比。因为后者受幽门螺杆菌的数量和毒力两方面的影响。
如果体检发现有幽门螺杆菌感染，要尽早去正规医院消化内科就诊，评估是否需要接受治疗。"
急性胃肠炎,"急性胃肠炎需要做哪些检查？
一般情况下检查粪便常规、血常规、C 反应蛋白、降钙素原等指标就可以了。
如果是细菌感染，则表现为白细胞计数、中性粒细胞计数、C 反应蛋白、降钙素原部分或全部升高
[1]
。
如果病毒感染的话一般血常规白细胞不升高、大便常规也没有白细胞。
如果症状比较重，应完善电解质、血气分析等检查，了解有无水、电解质及酸碱平衡紊乱。
急性胃肠炎就是「上吐下泻」吗？
如果平时身体健康，突然上吐下泻的话，大概率是得急性胃肠炎
[1]
；尤其是进食过可疑的食物，比如剩菜剩饭或外出饮食等。
不过，急性胃肠炎跟「上吐下泻」不完全等同，如不是所有的急性胃肠炎都会出现「上吐下泻」；同时「上吐下泻」也不仅仅见于急性胃肠炎，还可见于食物、药物中毒等疾病
[1]
。如症状重或者持续不缓解，应及时就医，进一步完善检查、明确诊断、及时治疗。"
