疾病名称,症状
肠易激综合征,"肠易激综合征患者都有哪些症状？
肠易激综合征起病隐匿，症状可反复出现或呈慢性化，一般不会影响全身的健康状况。本病以慢性腹痛、排便习惯及粪便性状改变为主要表现，还可能伴有消化不良、精神症状
[2,3,7]
：
慢性腹痛
：是最主要的症状，多强度不一且呈周期性加重，不同的人疼痛程度和位置可能差别很大。疼痛以下腹和左下腹多见，一般呈绞痛感（发作时，腹部好似被紧缩、压榨、烧灼，令人有窒息的感觉），在排便或排气后可缓解。在情绪应激（即人在面对外界各种刺激物时而出现的心理反应，比如突然被点名回答问题时，情绪紧张）和进食后可加重。
排便习惯及粪便性状改变
：包括腹泻（见于腹泻型）、便秘（见于便秘型）、腹泻与便秘交替、正常排便与腹泻和（或）便秘交替：
腹泻：一般每日 3～5 次左右，严重者可达十几次。大便多呈稀糊状，也可为软便或稀水样，量少，可能带有黏液但一般不出现脓血。排便通常发生在早晨或饭后。多数患者排便前会出现下腹绞痛、里急后重感（即腹内急迫、想一解为快，但是大便到肛门口时却感觉排不出来，一直有排便不尽的感觉）。
便秘：排便次数减少（每周少于 3 次），大便干结、发硬，可呈小球状，量少，可带较多黏液。患者往往在直肠排空后，仍有里急后重感。
其他症状：如腹胀、焦虑、抑郁、头痛、头晕、失眠、易疲劳、浑身没劲等。
肠易激综合征会不会癌变？
不会。
「我是不是得癌症了？是不是恶变了？」有很多肠易激综合征的病人，见到医生都会这样问。
因为这个病诊断和治疗过程中往往会走很多弯路，导致病程较长，久治不愈，患者经常会反复做各种检查，到处就医，严重影响生活与工作。
其实肠易激综合征就是一个功能性疾病，不是癌症，也不会发生恶变
[2]
。
肠易激综合征出现哪些症状时需警惕？
肠易激综合征是功能性病变，虽然病程较长，但是多不影响全身健康状况。由于本病的诊断是建立在排除器质性病变的基础之上，因此一旦存在以下报警症状需要引起警惕
[2,7]
：
发病年龄超过 50 岁；
发热；
不明原因的体重下降；
持续或夜间腹泻；
便血或黑便；
进行性腹痛（即随着时间推移，渐渐进展、逐步加重的腹痛）；
缺铁性贫血（通过实验室检查发现，伴脸色苍白、头晕乏力等）；
腹部包块；
有炎症性肠病或结直肠癌家族史。
有上述报警症状患者，应立即作相关检查（如结肠镜、X 线、腹部 B 超），查明是否出现器质性病变，以防延误病情。"
便秘,"便秘的主要表现有哪些？
主要表现为排便次数减少（每周少于 3 次）、粪便干硬和（或）排便困难。
每次排便时间长，排便费力，排出粪便干结如羊粪且数量少，排便后仍有粪便未排尽的感觉，严重时还需手指协助。同时还可伴有下腹胀痛、食欲减退、焦虑失眠以及皮肤色素沉着等表现。
患者因此常有心理负担，影响生活质量。
便秘有什么危害？
便秘的危害可分局部性和全身性。
局部性的危害：长期的排便费力会引起直肠肛门疾患，例如痔疮、肛裂、脱肛等。
全身性的危害：排便费力容易引起心脑血管疾病，尤其是老年人，血压升高易诱发脑卒中、心肌梗死等。对于肝衰竭的病人，便秘还会使有害物质再吸收入血，易发生肝性脑病。慢性便秘在结直肠癌、乳腺疾病、阿尔茨海默病等疾病的发生中可能起重要作用。长期便秘也会影响生活质量，导致精神和心理负担。
便秘为何容易引起痔疮、肛裂？
便秘通常是痔疮、肛裂的主要原因。粪便干硬直接对肛门及其周围皮肤黏膜造成损伤，排便困难导致排便时长时间屏气导致腹压升高，直肠肛门静脉血液回流障碍增加腹压又会导致直肠肛门静脉血液回流障碍，久而久之引起肛裂、痔疮。
而痔疮、肛裂反之又会引起排便疼痛使得患者惧怕排便，进一步加剧了病情。
因此，便秘重在早防早治。"
癌前病变,"癌前病变有哪些症状和表现？
腺瘤样息肉：消化道上皮瘤样变，导致胃、结肠、直肠等部位内壁上出现息肉，表现为腹痛、便秘、便血等。
黏膜白斑：发生在口腔、食管、阴茎、外阴、子宫颈等黏膜处的，不能擦去的白色病变，表现为灰白或乳白色的点状、片状或条状的角化性斑片，逐渐发展会凸出黏膜表面，出现溃疡，底部变硬或变厚。
乳房肿块：乳腺纤维囊性增生、非典型增生、导管内乳头瘤等，表现为乳房肿块、疼痛、乳头溢液等。
肝脏病变：肝脏由于各种原因变形、变硬，表现厌油、乏力、食欲减退，逐渐出现皮肤黄染、恶心等。
长期不易恢复的溃疡：食管、子宫颈和口腔等部位的黏膜发生鳞状上皮非典型增生，表现为相应部位的溃疡糜烂、疼痛等。
癌前病变会变成癌吗？
此类病变大多数会稳定存在，不会发展成癌症，只有一小部分会发展成癌症。例如胃癌前病变胃癌发生率在  0.25％～0.6％
[3]
之间。"
胆囊结石,"胆囊结石会引起胆囊癌变吗？
胆囊结石在胆囊内形成后可刺激胆囊黏膜，不仅可引起胆囊的慢性炎症，而且当结石嵌顿在胆囊颈部或胆管后还可以继发感染，导致胆囊炎症加重。
结石对胆囊黏膜的慢性刺激有可能导致胆囊癌的发生，目前报道胆囊癌的发生率达 1%～2%
[2]
。
胆囊结石有哪些表现？
胆囊结石的具体临床表现取决于结石的部位、是否造成胆道梗阻和感染等因素。
有时可以伴有轻微上腹部不适，被误认为是胃病而没有及时就诊
[1]
。
胆囊内的小结石若嵌顿于胆囊颈部，可引起临床症状，通常表现为胆绞痛，胆绞痛在部位上可能不典型，需要与急性胰腺炎、右侧肾绞痛等疾病鉴别。右上腹或上腹疼痛，可向右肩胛或背部放射，可伴有恶心、呕吐
[1]
。
一旦伴有急性感染会出现明显的腹痛、腹胀、畏寒、高热（ ≥ 39.1 ℃）等临床症状。
另外，在进食油腻饮食后胆囊收缩，或睡眠时由于体位改变，可以使疼痛症状加剧。
少数情况下还会发生黄疸，是由于胆囊结石压迫胆总管引起梗阻，但一般较轻。
胆囊结石和急性胆囊炎有关系吗？
有关系，胆囊结石可能诱发急性胆囊炎
[2]
。
当胆石嵌于胆囊颈部，造成急性梗阻时，胆囊内压力增高，胆汁不能通过胆囊颈和胆囊管排出，从而引起胆绞痛。
有部分患者的症状可以在几小时后自行缓解，在此期间，密切观察，无需特殊治疗。
但如果胆囊结石嵌顿持续不缓解，胆囊会继续增大，甚至会合并感染，从而进展为急性胆囊炎，表现为上腹部疼痛、恶心、呕吐等。如果治疗不及时，少部分患者可以进展为急性化脓性胆囊炎，严重时可以发生胆囊穿孔，后果严重。
胆囊结石可能并发哪些疾病？
胆囊结石和胆囊炎、胆管炎、胆囊癌等疾病的发生密切相关。
胆囊癌：胆囊长期受慢性炎症和胆囊结石内胆酸、胆碱的刺激容易使胆囊黏膜发生癌变。表现为无特异性右上腹痛，持续性隐痛或钝痛或阵发性剧痛，症状反复发作或难以缓解。
胆管炎：胆囊结石经胆道排入胆管引起继发性胆管结石、以及胆管结石的一些并发症。表现为中上腹疼痛，特别是进食油腻食物后突然感到右上腹或中上腹剧烈绞痛，可伴有恶心、呕吐等症状。
急、慢性胆囊炎：严重的胆囊结石还可以引起全身继发性感染，导致胆囊的炎症发生
[1]
。表现为阵发性上腹疼痛、恶心、嗳气等症状。"
胆囊息肉,"胆囊息肉有哪些常见表现？
很多胆囊息肉患者是在体检时通过超声检查偶然发现的，日常无明显症状。少数可能会有右上腹疼痛、食欲减退、恶心呕吐的症状。
极个别病人可引起阻塞性黄疸、无结石性胆囊炎、胆道出血、诱发胰腺炎等。
胆囊息肉会一直生长吗？
部分患者的胆囊息肉大小可在很长时间内没有变化，但大部分人的息肉会逐渐长大，因此应定期进行超声检查，如有胆囊息肉手术的适应证，应进行手术治疗。
胆囊息肉会癌变吗？
胆囊息肉虽然大部分都是良性病变，但肿瘤性息肉也有恶变的风险
[4]
。毕竟胆囊腺瘤是公认的胆囊癌的癌前病变，癌变的可能性约为 1.5％。因此一旦确诊，就应及时进行手术治疗
[1]
。"
胆囊炎,"胆囊炎有什么表现？
急性胆囊炎发病常在进食油腻食物后，主要表现为右上腹剧烈绞疼，阵发性加重，疼痛常放射至右肩或右背，而后出现恶心、呕吐、病重时还会发热，部分重症者有黄疸（皮肤黄染）及全身感染中毒症状。
而慢性胆囊炎除偶有上腹不适及消化不良外，症状不明显，大多数病人只有在 B 超检查后才知晓。
急性胆囊炎危重的情况有哪些？
单纯性胆囊炎的炎症，易于消退，若继续发展，约有 5% 的病人会病情加重，甚至能发生一些危险的合并症
[3]
：
化脓的胆汁可能会流入胆总管，引起胆总管或肝内胆管的化脓性感染，甚至形成肝脓肿
[3]
；
胆囊坏疽或坏死，导致穿孔及弥漫性腹膜炎；
胆囊周围炎与邻近的十二指肠或结肠粘连，形成内瘘；
感染，经淋巴管或门静脉系统扩散至肝，继发肝脓肿。
为了避免这些危险的并发症出现，急性胆囊炎的早期确诊和早期治疗尤为关键，处理及时可以避免后续症状的恶化。
慢性胆囊炎可能会造成哪些不良后果？
慢性胆囊炎的患者，多数会出现胆源性消化不良，厌油腻食物，嗳气，上腹部闷胀，胃部灼热等。
如果慢性胆囊炎合并胆囊结石，一旦结石掉入胆总管崁顿于胆总管，严重的会发生梗阻性化脓性胆管炎或胆源性胰腺炎。"
肝癌,"肝癌有哪些症状？
不同类型的肝癌，其症状表现大多相同。早期肝癌多无明显症状，随着肿瘤的增大可能出现下列症状：
右上腹轻至中度的疼痛（最常见），疼痛多为胀痛或钝痛，可伴有乏力，腹胀，一般餐后腹胀明显；
逐渐出现体重减轻或者消瘦；
不能吃油腻食物，食欲减退；
发热，一般为低热，偶达 39 ℃ 以上；
下肢水肿或者腹水；
眼睛巩膜或者皮肤发黄，皮肤瘙痒，上腹部有可以摸到的肿块
[1,2]
。
肝癌有哪些并发症？
肝性脑病：轻微意识缺失、注意力缩短、昏睡或冷漠等，是本病最严重的并发症。
肝癌结节破裂出血：局部疼痛或急性腹痛，腹胀，大量出血可致休克或死亡，约 10％ 肝癌病人发生肝癌结节破裂出血。
上消化道出血：突发大量呕血或柏油样便，严重者可出现出血性休克
[1,2]
。"
肝硬化,"肝硬化患者在不同阶段有什么症状？
代偿期：在这个阶段，大部分患者没有症状，或症状较轻，且没有特异性。可出现的症状有：乏力、食欲减退、消瘦，可伴有腹胀、恶心、上腹隐痛、腹泻等。
失代偿期：在这个阶段，患者的症状会很明显，主要是肝脏功能减退和门静脉（肝脏附近的一支重要血管）压力异常增高两类。
肝硬化患者失代偿期肝功能减退有哪些表现？
全身症状：消瘦、乏力、皮肤粗糙、面色黝暗、口角发炎、面部毛细血管扩张、低热、夜盲、浮肿等；
消化道症状：食欲不振、饱胀、恶心、呕吐、腹泻、黄疸等；
出血倾向和贫血：鼻出血、 牙龈出血、紫癜、消化道出血及贫血；
内分泌紊乱：乳头平面以上皮肤可有蜘蛛痣（痣为红色，痣体有一个中心点，周围的小血管分支呈辐射状，整体形似蜘蛛）、肝掌（手掌内外缘隆起部位发红）、毛细血管扩张、男性睾丸萎缩、男性性功能减退、毛发脱落、乳房发育；女性月经失调、闭经不孕。
肝硬化患者为什么脸色发黑？什么是「肝病面容」？
肝硬化患者常有皮肤色泽改变，表现为黝黑、灰暗、皮肤没有光泽、毛细血管扩张，即所谓「肝病面容」。主要与肝硬化时雌激素在体内灭活减少、雌激素增加有关。高水平的雌激素使皮肤内硫氢基对酪氨酸酶抑制作用减弱，过量的酪氨酸酶使酪氨酸变成黑色素。
除了见于肝硬化患者，在其他肝功能受损的患者身上也能见到类似的肝病面容，比如药物性肝损害、急性肝炎的患者，经过治疗，肝功能好转或者恢复正常的话，患者的脸色也可以恢复正常。
肝硬化肝功能失代偿时有哪些表现？
早期容易疲劳和乏力，后期可有体重减轻、食欲不振、厌油、腹胀、腹泻、发热等；
肝脏是白蛋白合成的唯一场所，肝硬化时血清白蛋白降低，引起水肿和腹腔积液；肝脏合成大多数凝血因子，肝损害时出现凝血机制障碍，临床上表现牙龈出血、紫癜、鼻出血等；
肝硬化时，肝细胞对胆红素、胆汁酸的摄取、结合和排泄均发生障碍，以致出现黄疸；
肝硬化还可以引起激素代谢异常，尤其是酒精性肝硬化患者，可以出现男性功能不全的许多特征，包括阳痿、勃起障碍、睾丸萎缩、体毛和肌肉块消失、女性化等，女性可出现月经停止或减少，或月经过多，不育等；
无论男性还是女性患者均可发生骨质疏松，以致易发生自发骨折。
肝硬化门静脉高压有哪些表现？
肝脏的血流非常丰富，就像个水库，而肝硬化犹如肝脏被大量泥沙填满，破坏了水库的基本功能，上游来的水（血液）会淤积泛滥。肝脏的血流量本来很大，当不通畅时，和它并排的那些血管就必须承担更多的排洪压力，这就包括胃食道静脉、脐周静脉、直肠静脉、脾脏，血液过多，血管鼓起、变曲折，容易出血。
脾脏增大：脾脏增大伴有白细胞、红细胞、血小板减少，即脾功能亢进，临床上相应表现为易发感染、贫血、出血倾向等。
侧支循环形成和开放：主要有：
食管和胃底静脉曲张，可并发呕血、黑便等；
腹壁和脐周静脉曲张，即在腹壁和脐周见到曲张迂曲静脉，以脐为中心向周围的腹部延伸；
直肠静脉曲张，见于肛管和直肠黏膜下，形成「痔核」，破裂时引起便血。
腹腔积液：腹腔积液和压力有关，轻重不一，大多数为轻中度，对利尿剂有反应。还可能伴有以下各种情况：
顽固性腹腔积液：少数患者腹腔积液对利尿剂呈抗药性，称为顽固性腹腔积液；
脐疝：大量腹腔积液时则由于腹内压高，肚脐周围变薄弱，肠或其他组织可被腹腔压力推到肚脐处的皮肤下，形成脐疝；
呼吸困难和心悸：大量腹腔积液还可使横隔抬高，从而造成呼吸困难和心悸；
肝性胸水：部分患者伴有胸水，称为肝性胸水，常发生在右侧胸腔。
肝硬化有哪些常见并发症？
肝硬化进展到失代偿期时常出现许多并发症，例如消化道出血、肝性脑病、胆结石、肝肾综合征、原发性肝癌、感染、肝性脑病、电解质和酸碱平衡紊乱。这些并发症的出现又使病变更加复杂化，部分患者常常因并发症的出现而危及生命。
肝硬化都会癌变、发展为肝癌吗？
不是所有的肝硬化都会发生癌变，但发展为肝癌的比例也相当高。
肝硬化患者为什么易并发感染？自发性腹膜炎是怎么发生的？
正常肝脏有重要的免疫功能，可以清除细菌毒素。肝硬化患者，不但肝细胞受损、血流也不顺畅，就像本来需要消毒的餐具，消毒工厂停工，送餐具来的运输车辆都减少了，肝脏的免疫功能大大下降。
由于免疫功能减退，肝 Kupffer 细胞功能低下，加之门-体分流（门静脉既是肝脏血供的重要来源，其本身又是独立的静脉系统。门静脉两端起始于毛细血管，除胃肠端毛细血管有括约肌控制血流外，其余血管和交通支都缺乏瓣膜，因此肝硬化门静脉压力超过正常时，门脉血便可逆流而自发性产生门-体分流）。
没有经过充分处理的血液会通过变道的血流危害附近的器官。肠内细菌易进入体内导致感染而发生肺炎、胆囊炎、胆管炎、结核性腹膜炎和自发性细菌性腹膜炎等，其中以自发性细菌性腹膜炎最常见，且最为重要。
肝硬化并发的肝性脑病是什么？
简单地说，肝性脑病就是肝脏出问题后引发的脑部疾病，轻的可能仅仅是智力减退，严重的会出现神志不清、行为怪异和昏迷。
肝性脑病通常是严重肝病所引起的，以代谢紊乱为基础，中枢神经系统功能失调的综合征。肠道内有毒物质（主要是分子形式存在的氨）的吸收是诱发肝性脑病的最主要原因。
根据肝性脑病的表现，从轻微的精神改变到深昏迷分 4 期：
一期（前驱期）可表现为轻度性格改变和行为异常，吐字欠清晰且缓慢；
二期（昏迷前期）以意识错乱、睡眠障碍及行为异常为主，定向力和理解力均减退，言语不清，书写障碍；
三期（昏睡期）以昏睡和精神错乱为主，但可以唤醒；
四期（昏迷期）患者神志完全丧失，不能唤醒。大部分肝性脑病是由各型肝硬化所引起的，可在上消化道出血、大量排钾利尿、放腹水、高蛋白饮食、镇静催眠药、外科手术及感染等因素诱发下出现。
肝硬化并发的肝肾综合征是什么？
简单地说，肝肾综合征就是肝脏出问题后，引起了肾脏的异常。此时肾脏本身并没有异常，是因为肝脏附近的血管有问题，影响了肾脏的血液供应。
在医学上，肝肾综合征是指肝硬化晚期发生的急性进行性肾功能不全，临床表现为高黄疸、腹水、神经精神或意识改变的肝功能衰竭基础上，出现尿量减少（少于 400 毫升/日）、氮质血症、明显电解质紊乱（低钾、低钠、无尿时为高钾血症），但尿常规正常。一旦肾功能不全发生，则会引发严重后果。"
结直肠癌,"结直肠癌有哪些症状？
早期结直肠癌可无明显症状，病情发展到一定程度才出现下列症状：
排便习惯改变：如便秘、腹泻、大便次数增多等；
大便性状改变：如变细、血便、黏液便等；
腹痛或腹部不适：间断性感到隐痛、胀痛，定位不准确；
腹部肿块：可于腹部病变部位触及腹部包块，多质地坚硬；
肠梗阻：中晚期患者多以不完全或完全性肠梗阻为首发症状，多表现为腹胀、腹痛、便秘等，完全梗阻时可加重，伴有明显恶心、呕吐、排气、排便停止等急性肠梗阻表现；
贫血及全身症状：如消瘦、乏力、低热
[2]
。
结直肠癌与便血有什么关系？
很多人有便血的症状后往往担心是不是得结直肠癌了，首先要了解便血量的多少，是便中带血还是便后有血，是黑便还是鲜血。
其次，先不要紧张，很多疾病都可能会引起便血，比如痔疮、溃疡性结肠炎、消化性溃疡等。但是，有便血的症状，提示身体健康出现了问题，建议尽快就医。
出现肚子疼、大便不成形一定是结直肠癌吗？
不是。
结直肠可能会出现肚子疼和大便不成形或者大便性状的改变，所以如果出现了上述症状需要尽快就医，但是其它良性疾病也可能出现以上症状，如溃疡性结肠炎和克罗恩病等。
结直肠癌常见的转移部位有哪些？
结直肠癌可以通过局部浸润、淋巴系统、血液系统转移到其它部位，常见转移部位有肿瘤临近器官、腹腔淋巴结或者浅表淋巴结、肝脏、肺脏、骨等部位，在复查或者随访时需要注意这些部位的检查。"
妊娠剧吐,"妊娠剧吐和妊娠呕吐有什么区别？
妊娠呕吐严重到一定程度即为妊娠剧吐。其实区分二者尚没有十分明确的标准，一般以「体重较怀孕前减轻超过 5%」为界限。
妊娠剧吐有哪些并发症？
妊娠剧吐时可出现脱水，低钾血症，低钠血症，代谢性酸中毒，肝功能异常，肾功能异常，甚至急性肾衰竭，甲状腺功能亢进，Wernicke 综合征，凝血功能障碍（如鼻出血、骨膜下出血，甚至视网膜出血）等。
妊娠剧吐会很严重吗？
一小部分人妊娠期恶心呕吐发展到妊娠剧吐，如果处理不当或者不予治疗，可出现水电解质紊乱、酸碱平衡紊乱、肝功能异常、肾功能异常、Wernicke 综合征、凝血功能障碍等并发症，严重时可导致死亡。
妊娠剧吐的发展结果会好吗？
经过治疗后，多数孕妇病情好转可以继续妊娠，若出现一些危及孕妇生命的情况，则需考虑终止妊娠。
妊娠剧吐时，孕妇出现哪些情况需要考虑终止妊娠？
持续性黄疸（眼白、皮肤呈黄色）。
持续性蛋白尿。
体温升高，持续在 38℃ 以上。
心动过速（大于等于 120 次/分）。
伴发 Wernicke 综合征。
妊娠剧吐会有后遗症吗？
妊娠剧吐孕妇住院期间，在给予静脉营养支持、维生素和电解质补充、止吐等治疗后，绝大多数病人病情很快改善并随着妊娠进展而自然消退，且无长期后遗症。
妊娠剧吐会不会影响宝宝发育？
迄今为止的绝大多数研究的结论：妊娠剧吐者其胎儿发生宫内发育迟缓（IUGR）的机会并不增加。"
胃癌,"胃癌有哪些常见的症状？
大部分的早期患者无症状，少部分人有消化不良症状，进展期胃癌逐渐出现消化系统及全身症状，如上腹疼痛、食欲缺乏、身体乏力，逐渐出现贫血、体重下降等症状，晚期胃癌患者甚至可以在上腹部可扪及肿块，有压痛，有时还会有呕血或黑便等症状
[1]
。
胃癌会导致哪些并发症？
可能会导致以下并发症
[1]
：
胃出血：是最常见的胃癌并发症，当胃癌侵蚀周围或深处血管时，可导致胃出血，轻者出现黑便，重者呕血。
癌转移：恶性肿瘤会扩散、转移至其他器官，如果贲门癌侵犯至食管，可能会出现吞咽困难；如果转移至肝脏，会引起肝区疼痛、黄疸和发热；如果转移至肺，则表现为咳嗽、咳血、呼吸困难等症状。
胃穿孔：当溃疡型胃癌穿透胃壁时，就会发生胃穿孔，表现为突发剧烈腹痛或长期腹部隐痛。
幽门梗阻：胃窦癌容易引起幽门狭窄，导致胃内食物不能正常通过，多有腹部不适、反复呕吐等症状。"
胰腺癌,"胰腺癌有什么表现?
胰腺癌的主要症状包括腹痛、黄疸、消瘦、乏力等。由于其起病隐匿，早期无特殊表现，可有上腹部不适、食欲减退、乏力等，数月后出现明显症状时，病程多进入晚期。
腹痛
：多数患者以腹痛为首发症状，早期腹痛较轻或部位不清，多为上腹部不适、隐痛、钝痛和胀痛等，以后逐渐加重且腹痛部位相对固定。典型胰腺癌腹痛为：
中上腹部深处，根据癌肿的位置不同可偏左或偏右；
常为持续性进行性加剧的钝痛或钻痛，餐后加剧，俯卧、弯腰、蹲踞等可减轻；
夜间、仰卧和向后伸腰时疼痛加剧；
腹痛剧烈者常有腰背部剧痛。
黄疸
：是本病患者的主要症状，且持续性进行性加重，伴皮肤瘙痒、尿色深如浓茶、粪便呈陶土色，但黄疸并非首发症状。
消化道症状
：患者早期可出现食欲减退、腹部饱胀不适、消化不良、腹泻、恶心、呕吐等。
消瘦、乏力
：由于食量减少、消化不良以及肿瘤消耗所致伴有明显的体重迅速减轻，其中部分患者可不伴有腹痛和黄疸。
其他症状
：部分患者还表现出焦虑、急躁、抑郁、个性改变等精神症状。也有患者可有高热甚至有寒战等类似胆管炎的症状，易与胆石症、胆管炎相混淆
[1]
。
胰腺癌的严重程度怎么判断？
对胰腺癌的严重程度进行判断，可选用较为简单的 Hermreck 分期法
[5]
：
第 Ⅰ 期：肿瘤仅限于胰腺内（肿瘤没有向其他部位转移）；
第 Ⅱ 期：肿瘤仅侵及邻近组织（肿瘤转移至与胰腺邻近的部位，如胆管、肠胃等）；
第 Ⅲ 期：已有区域性淋巴结转移（肿瘤通过淋巴管转移至淋巴结）；
第 Ⅳ 期：已有肝脏和其他远处转移（肿瘤转移至肝脏甚至离胰腺较远的部位，如肺部）。
胰腺癌容易往何处转移？
胰腺癌恶性度高，病程短，一般出现症状时已属晚期，并很快发生转移，侵犯邻近脏器。胰头癌与胰体尾癌的转移途径不完全一致：
胰头部癌：常侵犯到胆总管、十二指肠、胃及腹腔动脉，其淋巴转移途径主要是经肠系膜上动脉周围淋巴结向主动脉周围淋巴结转移。
胰体、尾部癌：常沿神经鞘向腹腔神经丛及脊髓方向转移，或沿淋巴管转移至胰上及肝门淋巴结等处
[6]
。"
乙型肝炎,"乙型肝炎常见的表现有哪些？
表现因病情严重程度不同而不同。
乙型肝炎病人常见的表现有身体乏力、容易疲劳、食欲不振、恶心、厌油、上腹部不适、腹胀、尿黄，或有轻度发热。病情较重时可以有皮肤、巩膜黄染。部分患者可有右上腹隐痛、压痛。"
胰腺炎,"胰腺炎的症状有哪些？
急性胰腺炎：腹痛，上腹痛为主，突然发作，如刀割样；发热；恶心、呕吐；有时可出现皮肤发黄，瘙痒等症状
[2]
。
慢性胰腺炎：一般为急性胰腺炎反复发作，胰腺功能被破坏而导致消化功能减退的症状，多以腹痛（上腹痛为主），持续存在；食欲减退，腹胀，消化不良；腹泻（脂肪泻），大便常有恶臭味；体重下降；部分可并发糖尿病。
急性胰腺炎有哪些并发症？
重症急性胰腺炎的并发症有很多，其中较重的并发症包括：低血压及休克、消化道出血、细菌及真菌感染、呼吸功能不全或衰竭（急性呼吸窘迫综合征）、心功能不全或衰竭、肾功能不全或衰竭等。
若出现以上并发症则说明患者病情严重，需要及时治疗，不然会危急患者生命健康，早发现早治疗也非常重要。
慢性胰腺炎患者为什么会发生体重不断下降的情况？
慢性胰腺炎会使胰液分泌减少，进而影响我们的消化功能，造成食欲减退、腹胀等消化不良的症状；部分患者还会出现腹泻。
另一方面，由于害怕疼痛，很多患者不愿吃饭或只吃很少量食物，这些都会造成患者体重下降，营养状况不佳。
慢性胰腺炎患者为什么容易同时患糖尿病？
调节血糖的重要物质是胰岛素，它由胰腺分泌，在发生慢性胰腺炎时，胰腺分泌胰岛素的功能受到影响，故会有一部分患者患糖尿病。
慢性胰腺炎会发展成癌症吗？
诊断为慢性胰腺炎的患者，其恶变率为 5 %
[3]
。胰腺癌不易诊断，血液化验结果对胰腺癌的诊断具有一定价值；还可通过腹部 CT、核磁共振、PET 等检查发现胰腺癌；此外，胰液病理检查或胰腺穿刺检查发现癌细胞则可确诊为胰腺癌。"
直肠癌,"直肠癌有什么表现？
直肠癌早期无明显症状，一般是癌肿破溃出血或感染时才会出现以下症状
[2]
：
直肠刺激症状：排便习惯改变（排便时间增长、次数），便意频繁，里急后重（有排便的感觉却又排不出来），便前肛门有下坠感，排便不尽感。
癌肿破溃出血症状：粪便在经过肿瘤时由于摩擦会导致其出血，所以大便表面会带血或黏液，若并发严重感染时，还会表现为脓血便。
肠腔狭窄症状：肿瘤的生长会使得肠腔的空间缩小，导致大便变细、变扁，若是形成肠管部分的梗阻，还会有腹痛、腹胀等表现。
全身症状：乏力、贫血、消瘦等表现，可能与长期慢性出血、腹痛、消化吸收不良以及肿瘤消耗有关。
直肠癌会累及或侵犯哪些组织和器官？
癌肿若侵犯前列腺、膀胱，就会有尿频、尿痛、血尿的现象。
癌肿若侵犯阴道，可出现阴道异常分泌物。
癌肿若侵犯骶前神经，可出现骶尾部（臀部的中间）持续性的剧烈疼痛。
若是肿瘤转移到了肝脏、肺部、骨等部位，还会引起肝功能受损、黄疸、骨转移部位的疼痛、咳嗽及咯血等。"
失眠,"失眠是什么？
失眠，俗话也常称为「睡不着觉」，是对睡眠时间或睡眠质量不满意且影响了白天功能（比如觉得困倦、乏力导致处理事情出错等）的一种主观体验，主要表现为入睡困难或睡眠质量不佳
[1]
。
大部分失眠患者的症状通常会在几周内自动消失
[2]
。偶然的失眠通常不会有什么问题，但是出现频繁且持续的入睡困难或睡眠维持困难并且导致睡眠满意度不足，则是生病了，患了「失眠症」，也叫「失眠障碍」，是「睡眠障碍」的一种
[3,4]
。
如果你患有失眠，在缓解症状的同时，你可以通过冥想、运动等生活方式来改善情绪，或是借助心理咨询走出情绪困境。如果你身边有人患有失眠，请给予他们理解与关爱。"
头晕,"头晕是什么？
头晕是一种常见的平衡系统功能性障碍，也是临床常见的症状之一，主要表现为头昏、头胀、头重脚轻、脑内摇晃、眼花等的感觉
[1]
。
头晕与眩晕的区别是什么？
眩晕，是在没有运动的情况下感到自身在旋转、摇晃、摆动、头重脚轻、头晕、头胀、眼花等，或原本静止的外界环境物体在旋转、晃动；
而头晕患者只会感觉到晕，没有旋转、摇晃等外界运动的错觉
[2]
。"
头痛,"头痛是什么意思？
头痛通常是指局限于头颅上半部分，包括眉弓、耳轮上缘和枕外隆凸连线以上部位的疼痛。
头痛的发病机制复杂，主要是由于颅内外痛敏结构内的痛觉感受器受到刺激，经痛觉传到通路到大脑皮质而引起。简而言之，头部有许多痛觉感受器，当痛觉感受器受到刺激后（机械、化学、生物刺激和体内生化改变等），进一步传到大脑而引起。
引起头痛的病因众多，大致可分为原发性和继发性两类，其中原发性头痛以「紧张型头痛」和「偏头痛」最为常见。
紧张型头痛的特点是双侧枕部或者全头部紧张性或压迫性疼痛，一般持续 30 分钟至七天，约占头痛患者的 70～80%，是临床最常见的慢性头痛
[1]
；而偏头痛的特征则是发作性、多为偏侧、中重度、搏动样头痛，可伴有恶心、呕吐等症状，声、光刺激及日常活动均可加重头痛，一般持续 4～72 小时。
头痛患者也有可能正在经历一些情绪的困扰，应保持心情愉悦，适当转移注意力，也可以通过冥想、运动等生活方式的改变来改善情绪、放松心情，或通过心理咨询帮助自己释放压力、解决情绪困扰。另外，此时的患者很需要被支持、被理解，因此，家人朋友们的关心也会对他们有很大的帮助。"
